customer_id,before_call_entropy,before_perc_of_calls_to_dar,before_calls_to_dar_ward_rank,before_calls_to_dar_subward_rank,after_call_entropy,before_money_sent_normed,after_mean_balance,after_cashin_normed,region_education,region_immunization_measles,region_antenatal_visits,region_parliament_female_male_ratio,region_population_millions,region_manyara,region_mara,region_pwani,region_ruvuma,region_shinyanga
672,2.9336,27.84,239.0,275.0,3.927,444.44444444444446,8219.698412698413,681.0150753768844,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
957,3.0388,72.49,49.75,97.0,3.2477,4795.535714285715,9354.267605633802,968.2517482517484,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0
1174,4.495,10.41,202.83,156.0,3.2618,490.06849315068496,4802.461538461538,282.0281690140845,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
57,3.8337,46.93,260.25,294.0,3.9145,8.49056603773585,410.0,10.0,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0
357,2.1833,73.62,361.67,382.0,3.5652,727.6699029126214,67971.97619047618,164.428,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0
955,3.2255,23.97,279.83,309.0,3.9985,2584.1052631578946,4539.047619047619,245.1509433962264,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0
115,,,,,,0.0,4129.857142857143,0.0,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0
652,1.4677,2.67,93.75,147.0,2.4455,3.571428571428572,1629.2666666666669,24.096153846153847,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0
1201,2.5758,63.44,260.25,294.0,3.4788,669.8198198198198,4433.945945945946,1199.709090909091,18.2,97.1,46.49,0.75,2.46,0,0,0,0,0
1189,3.9016,60.36,255.57,241.0,4.1566,1644.6308724832215,9423.157894736842,30.0,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
1180,3.9333,32.89,137.0,72.0,3.8208,511.13744075829385,35335.218181818185,2277.2153846153847,,,,0.67,1.74,0,0,0,0,0
988,3.6964,53.67,281.0,273.0,3.0899,3700.6451612903215,25905.054347826088,4081.387559808613,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0
385,3.0596,33.33,381.0,413.0,3.1928,961.1111111111112,2585.0,53.51063829787234,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0
887,2.4799,18.25,169.25,121.0,3.1574,2823.128,9917.023255813954,706.0973451327434,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0
708,3.3109,22.69,106.2,103.0,3.0011,2021.235632183908,12921.39393939394,1580.7659574468084,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
671,3.5389,16.13,213.33,149.0,3.0791,16069.505494505494,96961.94267515924,10606.756097560976,17.3,85.0,49.14,0.49,1.3,0,0,0,0,0
437,1.999,44.5,141.5,80.0,2.8752,994.1176470588236,601.3478260869565,0.2183098591549295,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0
668,4.1142,20.0,202.83,234.0,3.677,18350.06632653061,27469.29142857143,2762.7261904761904,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0
646,,,,,,0.0,322.09090909090907,0.0,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0
267,2.9494,14.88,359.17,335.0,3.2048,156.09756097560975,2208.5714285714284,0.203883495145631,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0
622,3.0641,27.27,281.0,160.0,3.662,331.3529411764706,8091.466666666666,196.52941176470588,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0
393,2.8836,46.53,51.6,32.0,2.1964,5810.810810810811,509.6,4.373443983402489,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
1108,3.0112,81.61,102.33,77.0,3.8629,329.03225806451616,27219.166666666668,673.1390728476821,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0
286,4.1575,35.84,250.12,163.0,3.3441,711.2794759825327,10033.115942028986,886.4126984126984,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0
107,3.2134,24.22,381.0,332.0,3.6159,426.9736842105263,38037.225,19.827956989247312,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0
