customer_id,dar_night_tower,tower_id,subward_name,subward_id,ward_name,ward_id,rank,prop_known,kmeans,binary_dv
770,308,308,Mbuyuni,44,Kigogo,6,269,0.824468085,3,1
762,345,345,Idrissa,39,Mzimuni,30,130,0.484042553,4,0
829,120,120,Kivule,264,Majohe,83,375,0.505319149,1,1
303,222,222,Mbezi Beach 'A',75,Kawe,70,19,0.781914894,5,0
451,284,284,Segerea,246,Segerea,9,127,0.882978723,4,0
1204,505,505,Kisiwani,214,Buguruni,80,150,0.888297872,4,0
111,486,486,Mnyamani,217,Buguruni,80,158,0.888297872,4,0
1059,372,372,Bunju 'B',163,Mabwepande,16,218,0.574468085,3,0
300,438,438,Ukwamani,73,Kawe,70,68,0.781914894,5,0
649,358,358,Mabibo Farasi,50,Mabibo,35,153,0.89893617,4,0
796,372,372,Bunju 'B',163,Mabwepande,16,218,0.574468085,3,0
812,173,173,Wazo,169,Wazo,4,113,0.64893617,4,0
592,53,53,Kimanga,271,Kimanga,41,237,0.760638298,3,1
173,140,140,Boko,87,Bunju,86,101,0.739361702,4,0
541,427,427,Kibamba,68,Kibamba,82,169,0.70212766,4,0
524,349,349,Mzimuni,74,Kawe,70,97,0.781914894,4,0
1004,424,424,Kibangu,93,Makuburi,63,180,0.611702128,3,0
161,505,505,Kisiwani,214,Buguruni,80,150,0.888297872,4,0
270,15,15,Barafu,97,Mburahati,52,203,0.760638298,3,0
1053,21,21,Ulongoni,259,Gongolamboto,12,231,0.845744681,3,1
934,163,163,Kilungule 'A',118,Kimara,20,215,0.914893617,3,0
226,175,175,Makumbusho,100,Makumbusho,37,45,0.893617021,5,0
692,73,73,Wazo,169,Wazo,4,113,0.64893617,4,0
837,466,466,Bangulo,181,Pugu,8,349,0.670212766,1,1
672,515,515,Yange yange,182,Msongola,75,424,0.29787234,1,1
957,268,268,Mzimuni,74,Kawe,70,97,0.781914894,4,0
1174,111,111,Mogo,211,Kipawa,46,211,0.664893617,3,0
57,516,516,Sinza 'A',105,Sinza,23,34,0.904255319,5,0
357,155,155,Kwa Tumbo,17,Tandale,78,371,0.813829787,1,1
955,234,234,Kwajongo,10,Makurumla,90,250,0.430851064,3,1
652,416,416,Tembomgwaza,270,Kimanga,41,294,0.760638298,2,1
1201,519,519,Tembomgwaza,270,Kimanga,41,294,0.760638298,2,1
1189,301,301,Msisiri B,24,Mwananyamala,54,241,0.85106383,3,1
1180,437,437,Salasala,170,Wazo,4,72,0.64893617,5,0
988,359,359,Ukwamani,73,Kawe,70,68,0.781914894,5,0
385,268,268,Mzimuni,74,Kawe,70,97,0.781914894,4,0
671,13,13,Mwinyimkuu,40,Mzimuni,30,82,0.484042553,5,0
437,152,152,Makongo,161,Makongo,7,80,0.829787234,5,0
668,191,191,Mbezi Luisi,133,Mbezi,49,156,0.765957447,4,0
646,332,332,Mtambani,210,Vingunguti,68,329,0.819148936,1,1
622,197,197,Dovya,88,Bunju,86,114,0.739361702,4,0
393,262,262,Kwa Pakacha,19,Tandale,78,382,0.813829787,1,1
1108,432,432,Mission Quarter,206,Mchikichini,14,77,0.792553191,5,0
286,277,277,Kitunda kati,247,Kitunda,22,260,0.707446809,3,1
564,549,549,Nyeburu,267,Majohe,83,397,0.505319149,1,1
508,427,427,Kibamba,68,Kibamba,82,169,0.70212766,4,0
1206,279,279,Bunju 'A',90,Bunju,86,62,0.739361702,5,0
1022,295,295,Ukwamani,73,Kawe,70,68,0.781914894,5,0
71,151,151,Jogoo,154,Mbezi Juu,5,55,0.728723404,5,0
263,182,182,Mgeule,268,Majohe,83,398,0.505319149,1,1
48,429,429,Kasulu,202,Ilala,33,85,0.936170213,5,0
559,194,194,Bunju 'A',90,Bunju,86,62,0.739361702,5,0
131,59,59,Gongolamboto,260,Gongolamboto,12,208,0.845744681,3,0
802,488,488,Makanya,13,Ndugumbi,62,402,0.372340426,1,1
206,59,59,Gongolamboto,260,Gongolamboto,12,208,0.845744681,3,0
329,147,147,Mandela,191,Tabata,87,123,0.888297872,4,0
625,213,213,Kichangani,263,Majohe,83,362,0.505319149,1,1
367,219,219,Mlalakuwa,162,Makongo,7,168,0.829787234,4,0
164,391,391,Kiwalani,238,Kiwalani,31,197,0.64893617,3,0
734,180,180,Ugombolwa,243,Segerea,9,193,0.882978723,3,0
694,221,221,Yombo,240,Kiwalani,31,302,0.64893617,1,1
1165,381,381,Lubakaya,254,Chanika,13,436,0.654255319,1,1
333,462,462,Kisopwa,148,Kwembe,85,439,0.367021277,1,1
1141,129,129,Kichangani,179,Pugu,8,325,0.670212766,1,1
623,59,59,Gongolamboto,260,Gongolamboto,12,208,0.845744681,3,0
455,393,393,Masaki,29,Msasani,72,1,0.765957447,5,0
12,298,298,Kigogo Kati,43,Kigogo,6,290,0.824468085,2,1
